,zpid_of_the_house,place name,category
186,25763661,Aliso Viejo,park
188,25710185,ALDI,grocery store
189,25710185,Aliso and Wood Canyons Wilderness Park,park
191,25710185,Laguna Hills High School,school
192,25710185,Brookline Park,park
193,25710185,Creekside Park,park
194,25710185,Sheep Hills Park,park
195,25710185,Crestview Park,park
196,25710185,Iglesia Park,park
197,25710185,Glenbrook Park,park
198,25710185,Argonaut Park,park
199,25710185,Pinewood Park,park
200,25710185,Ridgecrest Park,park
201,25710185,Wingspan Park,park
202,25710185,Aliso Creek Park and Wildlife Sanctuary,park
203,25710185,Glenwood Park,park
204,25710185,Aliso Viejo,park
209,25550800,Aliso Niguel High School,school
210,25550800,Walmart Supercenter,grocery store
211,25550800,Aliso and Wood Canyons Wilderness Park,park
213,25550800,Journey School,school
214,25550800,Trader Joe's,grocery store
215,25550800,Costco,grocery store
216,25550800,Stater Bros.,grocery store
217,25550800,Pavilions,grocery store
218,25550800,Niguel Heights Park,park
219,25550800,Creekside Park,park
220,25550800,Woodfield Park,park
221,25550800,Crestview Park,park
222,25550800,Grand Park,park
223,25550800,Ralphs,grocery store
224,25550800,Aliso Viejo Middle School,school
225,25550800,Aliso Viejo Community Park,park
226,25550800,Aliso Viejo Ranch,park
227,25550800,Springdale Park,park
228,25550800,Foxborough Park,park
229,25550800,Hillview Park,park
230,25710396,ALDI,grocery store
231,25710396,Aliso and Wood Canyons Wilderness Park,park
233,25710396,Laguna Hills High School,school
234,25710396,Brookline Park,park
235,25710396,Creekside Park,park
236,25710396,Sheep Hills Park,park
237,25710396,Crestview Park,park
238,25710396,Iglesia Park,park
239,25710396,Glenbrook Park,park
240,25710396,Argonaut Park,park
241,25710396,Pinewood Park,park
242,25710396,Ridgecrest Park,park
243,25710396,Wingspan Park,park
244,25710396,Aliso Creek Park and Wildlife Sanctuary,park
245,25710396,Glenwood Park,park
246,25710396,Stater Bros.,grocery store
247,25710396,Aliso Viejo,park
251,25745677,Aliso and Wood Canyons Wilderness Park,park
253,25745677,Laguna Coast Wilderness Park,park
255,25745677,Hummingbird Park,park
256,25745677,Brookline Park,park
257,25745677,James Dilley Greenbelt Preserve,park
259,25745677,Canyon View Park,park
260,25745677,Ridgecrest Park,park
261,25745677,Wingspan Park,park
262,25763400,Aliso and Wood Canyons Wilderness Park,park
264,25763400,Trader Joe's,grocery store
265,25763400,Laguna Hills High School,school
266,25763400,Brookline Park,park
267,25763400,Creekside Park,park
268,25763400,Sheep Hills Park,park
269,25763400,Woodfield Park,park
270,25763400,Crestview Park,park
271,25763400,Aliso Viejo Middle School,school
272,25763400,Aliso Viejo Community Park,park
273,25763400,Aliso Viejo Ranch,park
274,25763400,Springdale Park,park
275,25763400,Iglesia Park,park
276,25763400,Glenbrook Park,park
277,25763400,Argonaut Park,park
278,25763400,Pinewood Park,park
279,25763400,Ridgecrest Park,park
280,25763400,Wingspan Park,park
281,25763400,Laguna Hills Community Center & Sports Complex,park
282,25763400,Aliso Creek Park and Wildlife Sanctuary,park
283,25761645,Aliso and Wood Canyons Wilderness Park,park
285,25761645,Trader Joe's,grocery store
286,25761645,Laguna Hills High School,school
287,25761645,Brookline Park,park
288,25761645,Creekside Park,park
289,25761645,Sheep Hills Park,park
290,25761645,Woodfield Park,park
291,25761645,Crestview Park,park
292,25761645,Aliso Viejo Middle School,school
293,25761645,Aliso Viejo Community Park,park
294,25761645,Aliso Viejo Ranch,park
295,25761645,Springdale Park,park
296,25761645,Iglesia Park,park
297,25761645,Glenbrook Park,park
298,25761645,Argonaut Park,park
299,25761645,Pinewood Park,park
300,25761645,Ridgecrest Park,park
301,25761645,Wingspan Park,park
302,25761645,Laguna Hills Community Center & Sports Complex,park
303,25761645,Aliso Creek Park and Wildlife Sanctuary,park
304,25774647,Aliso and Wood Canyons Wilderness Park,park
306,25774647,Journey School,school
307,25774647,Trader Joe's,grocery store
308,25774647,Costco,grocery store
309,25774647,Stater Bros.,grocery store
310,25774647,Pavilions,grocery store
311,25774647,Laguna Hills High School,school
312,25774647,Creekside Park,park
313,25774647,Sheep Hills Park,park
314,25774647,Woodfield Park,park
315,25774647,Crestview Park,park
316,25774647,Aliso Viejo Middle School,school
317,25774647,Aliso Viejo Community Park,park
318,25774647,Aliso Viejo Ranch,park
319,25774647,Springdale Park,park
320,25774647,Foxborough Park,park
321,25774647,Mendocino Park,park
322,25774647,Laguna Hills Community Center & Sports Complex,park
323,25774647,Mandeville Park,park
324,25774647,Ralphs,grocery store
325,25763330,Aliso and Wood Canyons Wilderness Park,park
327,25763330,Trader Joe's,grocery store
328,25763330,Laguna Hills High School,school
329,25763330,Brookline Park,park
330,25763330,Creekside Park,park
