,zpid_of_the_house,place name,category
14791,25699809,Hawes Park,park
14792,25699809,Moffett Park,park
14793,25699809,Drew Park,park
14794,25699809,Wardlow Park,park
14795,25699809,William E Kettler Elementary School,school
14796,25699809,S A Moffett Elementary School,school
14797,25699809,Isaac L Sowers Middle School,school
14798,25699809,Ralph E Hawes Elementary School,school
14799,25699809,Huntington Christian School,school
14800,25699809,Peterson School,school
14801,25699809,Bauer Park,park
14802,25699809,Huntington Beach,park
14803,25280053,Albertsons,grocery store
14804,25280053,Moffett Park,park
14805,25280053,Drew Park,park
14806,25280053,McCallen Park,park
14807,25280053,Wardlow Park,park
14808,25280053,Newland Park,park
14809,25280053,Bartlett Park,park
14810,25280053,Langenbeck Park,park
14811,25280053,Talbert Park,park
14812,25280053,Perry Park,park
14813,25280053,Joseph R Perry Elementary School,school
14814,25280053,S A Moffett Elementary School,school
14815,25280053,Samuel E Talbert Middle School,school
14816,25280053,William T Newland Elementary School,school
14817,25280053,Peterson School,school
14818,2095382498,Harbour View Elementary School,school
14819,2095382498,Harbour View Park,park
14820,2095382498,Haven View Park,park
14821,2095382498,Wieder Park,park
14822,2095382498,Gibbs Park,park
14823,2095382498,Meadow View School,school
14824,2095382498,Village View Elementary School,school
14825,2095382498,Trader Joe's,grocery store
14826,2095382498,Haven View School,school
14827,2095382498,Haven Park,park
14828,2095382498,Parkside Estates Park,park
14829,25274463,The Pegasus School,school
14830,25274463,Brethren Christian Junior-Senior High School,school
14831,25274463,Talbert Regional Park,park
14832,25274463,Fairview Park,park
14833,25274463,LeBard Park,park
14834,25274463,Arevalos Park,park
14835,25274463,Burke Park,park
14836,25274463,Sowers Park,park
14837,25274463,Hawes Park,park
14838,25274463,Moffett Park,park
14839,25274463,Wardlow Park,park
14840,25274463,Bushard Park,park
14841,25274463,Isojiro Oka Elementary School,school
14842,25274463,S A Moffett Elementary School,school
14843,25274463,Samuel E Talbert Middle School,school
14844,25274463,William T Newland Elementary School,school
14845,25274463,Isaac L Sowers Middle School,school
14846,25274463,Ralph E Hawes Elementary School,school
14847,25274463,Huntington Christian School,school
14848,25274463,Whole Foods Market,grocery store
14849,25276746,The Pegasus School,school
14850,25276746,LeBard Park,park
14851,25276746,Arevalos Park,park
14852,25276746,Burke Park,park
14853,25276746,Sowers Park,park
14854,25276746,Hawes Park,park
14855,25276746,Wardlow Park,park
14856,25276746,Bushard Park,park
14857,25276746,Newland Park,park
14858,25276746,Langenbeck Park,park
14859,25276746,Talbert Park,park
14860,25276746,Isojiro Oka Elementary School,school
14861,25276746,S A Moffett Elementary School,school
14862,25276746,Samuel E Talbert Middle School,school
14863,25276746,William T Newland Elementary School,school
14864,25276746,Isaac L Sowers Middle School,school
14865,25276746,Ralph E Hawes Elementary School,school
14866,25276746,Whole Foods Market,grocery store
14867,25276746,Cordata Park,park
14868,25276746,Stater Bros.,grocery store
14869,25287076,name=Trader Joe's,grocery store
14870,25287076,Albertsons,grocery store
14871,25287076,Newland Park,park
14872,25287076,Bartlett Park,park
14873,25287076,Langenbeck Park,park
14874,25287076,Talbert Park,park
14875,25287076,Perry Park,park
14876,25287076,Helme Park,park
14877,25287076,Harper Park,park
14878,25287076,Courreges Park,park
14879,25287076,Lambert Park,park
14880,25287076,Terry Park,park
14881,25287076,Helm Park,park
14882,25287076,Fulton Park,park
14883,25287076,Roch Courreges Elementary School,school
14884,25287076,Joseph R Perry Elementary School,school
14885,25287076,Samuel E Talbert Middle School,school
14886,25287076,William T Newland Elementary School,school
14887,25287076,Cordata Park,park
14888,25287076,Huntington Beach,park
14889,25301519,Seal Beach National Wildlife Refuge,park
14891,25301519,Harbour View Elementary School,school
14892,25301519,Harbour View Park,park
14893,25301519,Eugene B French Park,park
14894,25301519,Sea Bridge Park,park
14895,25301519,Sunset Aquatic Regional Park,park
14896,25301519,Haven Park,park
14897,25301519,Sunset Beach,park
14904,25301519,Huntington Beach,park
14905,25699758,Walmart Neighborhood Market,grocery store
14906,25699758,Edison High School,school
14907,25699758,Vons,grocery store
14908,25699758,Brethren Christian Junior-Senior High School,school
14909,25699758,Edison Community Park,park
14910,25699758,Gisler Park,park
14911,25699758,Burke Park,park
14912,25699758,Sowers Park,park
14913,25699758,Hawes Park,park
14914,25699758,Moffett Park,park
14915,25699758,Drew Park,park
14916,25699758,William E Kettler Elementary School,school
14917,25699758,S A Moffett Elementary School,school
14918,25699758,Isaac L Sowers Middle School,school
14919,25699758,Ralph E Hawes Elementary School,school
14920,25699758,Huntington Christian School,school
14921,25699758,Peterson School,school
14922,25699758,Bauer Park,park
14923,25699758,Huntington Beach,park
14924,25291702,Ocean View High School,school
14925,25291702,Hope View Elementary School,school
14926,25291702,Huntington Central Park,park
14927,25291702,Bolsa View Park,park
14928,25291702,Carr Park,park
14929,25291702,Hope View Park,park
14930,25291702,Lark View Park,park
14931,25291702,Marine View Park,park
14932,25291702,College View Park,park
14933,25291702,Golden View Park,park
14934,25291702,Irby Park,park
14935,25291702,Murdy Park,park
14936,25291702,Golden View Elementary School,school
14937,25291702,Marine View Middle School,school
14938,25291702,Mesa View Middle School,school
14939,25291702,College View Elementary School,school
14940,25291702,Spring View Middle School,school
14942,25291702,The Country Day School,school
14943,25291702,Butterfly Garden,park
14945,25716321,Walmart Neighborhood Market,grocery store
14946,25716321,Edison High School,school
14947,25716321,Vons,grocery store
14948,25716321,Brethren Christian Junior-Senior High School,school
14949,25716321,Edison Community Park,park
14950,25716321,Gisler Park,park
14951,25716321,Manning Park,park
14952,25716321,Burke Park,park
14953,25716321,Sowers Park,park
14954,25716321,Moffett Park,park
14955,25716321,Drew Park,park
14956,25716321,Wardlow Park,park
14957,25716321,Newland Park,park
14958,25716321,Bartlett Park,park
14959,25716321,William E Kettler Elementary School,school
14960,25716321,S A Moffett Elementary School,school
14961,25716321,William T Newland Elementary School,school
14962,25716321,Isaac L Sowers Middle School,school
14963,25716321,Ralph E Hawes Elementary School,school
14964,25716321,Huntington Christian School,school
14965,25724431,Walmart Neighborhood Market,grocery store
14966,25724431,Edison High School,school
14967,25724431,Vons,grocery store
14968,25724431,Edison Community Park,park
14969,25724431,Manning Park,park
14970,25724431,Sowers Park,park
14971,25724431,Moffett Park,park
14972,25724431,Drew Park,park
14973,25724431,Wardlow Park,park
14974,25724431,Newland Park,park
14975,25724431,Bartlett Park,park
14976,25724431,William E Kettler Elementary School,school
14977,25724431,S A Moffett Elementary School,school
14978,25724431,William T Newland Elementary School,school
14979,25724431,Isaac L Sowers Middle School,school
14980,25724431,Peterson School,school
14981,25724431,Bauer Park,park
14982,2054313414,Walmart Neighborhood Market,grocery store
14983,2054313414,Edison High School,school
14984,2054313414,Vons,grocery store
14985,2054313414,Brethren Christian Junior-Senior High School,school
14986,2054313414,Edison Community Park,park
14987,2054313414,Gisler Park,park
14988,2054313414,Burke Park,park
14989,2054313414,Sowers Park,park
14990,2054313414,Moffett Park,park
14991,2054313414,Drew Park,park
14992,2054313414,Wardlow Park,park
14993,2054313414,Newland Park,park
14994,2054313414,Bartlett Park,park
14995,2054313414,William E Kettler Elementary School,school
14996,2054313414,S A Moffett Elementary School,school
14997,2054313414,William T Newland Elementary School,school
14998,2054313414,Isaac L Sowers Middle School,school
14999,2054313414,Ralph E Hawes Elementary School,school
15000,2054313414,Huntington Christian School,school
15001,2054313414,Peterson School,school
15002,25273160,Edison High School,school
15003,25273160,Vons,grocery store
15004,25273160,Brethren Christian Junior-Senior High School,school
15005,25273160,Talbert Regional Park,park
15006,25273160,Edison Community Park,park
15007,25273160,Gisler Park,park
15008,25273160,LeBard Park,park
15009,25273160,Burke Park,park
15010,25273160,Sowers Park,park
15011,25273160,Hawes Park,park
15012,25273160,Moffett Park,park
15013,25273160,Wardlow Park,park
15014,25273160,Bushard Park,park
15015,25273160,William E Kettler Elementary School,school
15016,25273160,Isojiro Oka Elementary School,school
15017,25273160,S A Moffett Elementary School,school
15018,25273160,William T Newland Elementary School,school
15019,25273160,Isaac L Sowers Middle School,school
15020,25273160,Ralph E Hawes Elementary School,school
15021,25273160,Huntington Christian School,school
15022,25274570,The Pegasus School,school
15023,25274570,Edison High School,school
15024,25274570,Vons,grocery store
15025,25274570,Brethren Christian Junior-Senior High School,school
15026,25274570,Talbert Regional Park,park
15027,25274570,Fairview Park,park
15028,25274570,Gisler Park,park
15029,25274570,LeBard Park,park
15030,25274570,Burke Park,park
15031,25274570,Sowers Park,park
15032,25274570,Hawes Park,park
15033,25274570,Moffett Park,park
15034,25274570,Wardlow Park,park
15035,25274570,Bushard Park,park
15036,25274570,Isojiro Oka Elementary School,school
15037,25274570,S A Moffett Elementary School,school
15038,25274570,Isaac L Sowers Middle School,school
15039,25274570,Ralph E Hawes Elementary School,school
15040,25274570,Huntington Christian School,school
15041,25274570,Whole Foods Market,grocery store
15042,25699781,Walmart Neighborhood Market,grocery store
15043,25699781,Edison High School,school
15044,25699781,Vons,grocery store
15045,25699781,Brethren Christian Junior-Senior High School,school
15046,25699781,Edison Community Park,park
15047,25699781,Gisler Park,park
15048,25699781,Burke Park,park
15049,25699781,Sowers Park,park
15050,25699781,Hawes Park,park
15051,25699781,Moffett Park,park
15052,25699781,Drew Park,park
15053,25699781,William E Kettler Elementary School,school
15054,25699781,S A Moffett Elementary School,school
15055,25699781,Isaac L Sowers Middle School,school
15056,25699781,Ralph E Hawes Elementary School,school
15057,25699781,Huntington Christian School,school
15058,25699781,Peterson School,school
15059,25699781,Bauer Park,park
15060,25699781,Huntington Beach,park
15061,25722126,Walmart Neighborhood Market,grocery store
15062,25722126,Edison High School,school
15063,25722126,Vons,grocery store
15064,25722126,Edison Community Park,park
15065,25722126,Manning Park,park
15066,25722126,Sowers Park,park
15067,25722126,Moffett Park,park
15068,25722126,Drew Park,park
15069,25722126,Bartlett Park,park
15070,25722126,William E Kettler Elementary School,school
15071,25722126,S A Moffett Elementary School,school
15072,25722126,Isaac L Sowers Middle School,school
15073,25722126,Peterson School,school
15074,25722126,Bauer Park,park
15075,25280146,Albertsons,grocery store
15076,25280146,Moffett Park,park
15077,25280146,Drew Park,park
15078,25280146,McCallen Park,park
15079,25280146,Wardlow Park,park
15080,25280146,Newland Park,park
15081,25280146,Bartlett Park,park
15082,25280146,Langenbeck Park,park
15083,25280146,Talbert Park,park
15084,25280146,Perry Park,park
15085,25280146,Joseph R Perry Elementary School,school
15086,25280146,S A Moffett Elementary School,school
15087,25280146,Samuel E Talbert Middle School,school
15088,25280146,William T Newland Elementary School,school
15089,25280146,Peterson School,school
15090,25703368,Harbour View Elementary School,school
15091,25703368,Harbour View Park,park
15092,25703368,Eugene B French Park,park
15093,25703368,Sea Bridge Park,park
15094,25703368,Trader Joe's,grocery store
15095,25703368,Sunset Beach,park
15104,25703368,Huntington Beach,park
15105,2081359988,Harbour View Elementary School,school
15106,2081359988,Harbour View Park,park
15107,2081359988,Eugene B French Park,park
15108,2081359988,Sea Bridge Park,park
15109,2081359988,Trader Joe's,grocery store
15110,2081359988,Sunset Beach,park
15119,2081359988,Huntington Beach,park
15120,25301390,Seal Beach National Wildlife Refuge,park
15122,25301390,Harbour View Elementary School,school
15123,25301390,Harbour View Park,park
15124,25301390,Eugene B French Park,park
15125,25301390,Haven View Park,park
15126,25301390,Wieder Park,park
15127,25301390,Gibbs Park,park
15128,25301390,Village View Elementary School,school
15129,25301390,Trader Joe's,grocery store
15130,25301390,Haven View School,school
15131,25301390,Haven Park,park
15132,25301390,Parkside Estates Park,park
15133,25301390,Sunset Beach,park
15134,25301390,Huntington Beach,park
15135,25703059,Harbour View Elementary School,school
15136,25703059,Harbour View Park,park
15137,25703059,Haven View Park,park
15138,25703059,Marine View Park,park
15139,25703059,Wieder Park,park
15140,25703059,Gibbs Park,park
15141,25703059,Marine View Middle School,school
15142,25703059,Meadow View School,school
15143,25703059,Village View Elementary School,school
15144,25703059,Trader Joe's,grocery store
15145,25703059,Haven View School,school
15146,25703059,Haven Park,park
15147,25703059,Parkside Estates Park,park
15148,25703059,Huntington Beach,park
15149,25301669,Seal Beach National Wildlife Refuge,park
15151,25301669,Harbour View Elementary School,school
15152,25301669,Harbour View Park,park
15153,25301669,Eugene B French Park,park
15154,25301669,Sea Bridge Park,park
15155,25301669,Trader Joe's,grocery store
15156,25301669,Sunset Aquatic Regional Park,park
15157,25301669,Haven Park,park
15158,25301669,Sunset Beach,park
15167,25301669,Huntington Beach,park
15168,25279418,Albertsons,grocery store
15169,25279418,Sowers Park,park
15170,25279418,Moffett Park,park
15171,25279418,Drew Park,park
15172,25279418,McCallen Park,park
15173,25279418,Wardlow Park,park
15174,25279418,Newland Park,park
15175,25279418,Bartlett Park,park
15176,25279418,Langenbeck Park,park
15177,25279418,Talbert Park,park
15178,25279418,Perry Park,park
15179,25279418,Joseph R Perry Elementary School,school
15180,25279418,S A Moffett Elementary School,school
15181,25279418,Samuel E Talbert Middle School,school
15182,25279418,William T Newland Elementary School,school
15183,25279418,Isaac L Sowers Middle School,school
15184,25279418,Peterson School,school
15185,25286749,name=Trader Joe's,grocery store
15186,25286749,Langenbeck Park,park
15187,25286749,Perry Park,park
15188,25286749,Helme Park,park
15189,25286749,Harper Park,park
15190,25286749,Courreges Park,park
15191,25286749,Lambert Park,park
15192,25286749,Terry Park,park
15193,25286749,Helm Park,park
15194,25286749,Fulton Park,park
15195,25286749,Lake View Park,park
15196,25286749,Westmont Park,park
15197,25286749,Roch Courreges Elementary School,school
15198,25286749,Joseph R Perry Elementary School,school
15199,25286749,Harry C Fulton Middle School,school
15200,25286749,Hisamatsu Tamura Elementary School,school
15201,25286749,Lake View Elementary School,school
15203,25286749,Huntington Beach,park
15204,25280514,Albertsons,grocery store
15205,25280514,Moffett Park,park
15206,25280514,Drew Park,park
15207,25280514,McCallen Park,park
15208,25280514,Wardlow Park,park
15209,25280514,Newland Park,park
15210,25280514,Bartlett Park,park
15211,25280514,Langenbeck Park,park
15212,25280514,Talbert Park,park
15213,25280514,Perry Park,park
15214,25280514,Helme Park,park
15215,25280514,Harper Park,park
15216,25280514,Joseph R Perry Elementary School,school
15217,25280514,S A Moffett Elementary School,school
15218,25280514,Samuel E Talbert Middle School,school
15219,25280514,William T Newland Elementary School,school
15220,25288428,Harriett M. Wieder Regional Park,park
15221,25288428,Hope View Elementary School,school
15222,25288428,Huntington Central Park,park
15223,25288428,Bolsa View Park,park
15224,25288428,Hope View Park,park
15225,25288428,Marine View Park,park
15226,25288428,Marine View Middle School,school
15227,25288428,Mesa View Middle School,school
15228,25288428,Lark View Park,school
15229,25288428,Huntington Beach,park
15230,25288428,,school
15231,25722425,Edison High School,school
15232,25722425,Estancia High School,school
15233,25722425,Randall Preserve,park
15235,25722425,Brethren Christian Junior-Senior High School,school
15236,25722425,Talbert Regional Park,park
15237,25722425,Fairview Park,park
15238,25722425,Edison Community Park,park
15239,25722425,Gisler Park,park
15240,25722425,LeBard Park,park
15241,25722425,Canyon Park,park
15242,25722425,Marina View Park,park
15243,25722425,Eader Park,park
15244,25722425,Seeley Park,park
15245,25722425,Burke Park,park
15247,25722425,Vista Park,park
15248,25722425,Victoria Elementary School,school
15249,25722425,Waldorf School of Orange County,school
15250,25722425,Isaac L Sowers Middle School,school
15251,25722425,Huntington Christian School,school
15252,25724388,Walmart Neighborhood Market,grocery store
15253,25724388,Edison High School,school
15254,25724388,Vons,grocery store
15255,25724388,Edison Community Park,park
15256,25724388,Manning Park,park
15257,25724388,Sowers Park,park
15258,25724388,Moffett Park,park
15259,25724388,Drew Park,park
15260,25724388,Wardlow Park,park
15261,25724388,Newland Park,park
15262,25724388,Bartlett Park,park
15263,25724388,William E Kettler Elementary School,school
15264,25724388,S A Moffett Elementary School,school
15265,25724388,William T Newland Elementary School,school
15266,25724388,Isaac L Sowers Middle School,school
15267,25724388,Peterson School,school
15268,25724388,Bauer Park,park
15269,25274324,The Pegasus School,school
15270,25274324,Vons,grocery store
15271,25274324,Brethren Christian Junior-Senior High School,school
15272,25274324,Talbert Regional Park,park
15273,25274324,LeBard Park,park
15274,25274324,Burke Park,park
15275,25274324,Sowers Park,park
15276,25274324,Hawes Park,park
15277,25274324,Moffett Park,park
15278,25274324,Wardlow Park,park
15279,25274324,Bushard Park,park
15280,25274324,Newland Park,park
15281,25274324,Talbert Park,park
15282,25274324,Isojiro Oka Elementary School,school
15283,25274324,S A Moffett Elementary School,school
15284,25274324,Samuel E Talbert Middle School,school
15285,25274324,William T Newland Elementary School,school
15286,25274324,Isaac L Sowers Middle School,school
15287,25274324,Ralph E Hawes Elementary School,school
15288,25274324,Huntington Christian School,school
15289,25286903,name=Trader Joe's,grocery store
15290,25286903,Albertsons,grocery store
15291,25286903,McCallen Park,park
15292,25286903,Newland Park,park
15293,25286903,Bartlett Park,park
15294,25286903,Langenbeck Park,park
15295,25286903,Talbert Park,park
15296,25286903,Perry Park,park
15297,25286903,Helme Park,park
15298,25286903,Harper Park,park
15299,25286903,Courreges Park,park
15300,25286903,Lambert Park,park
15301,25286903,Terry Park,park
15302,25286903,Fulton Park,park
15303,25286903,Roch Courreges Elementary School,school
15304,25286903,Joseph R Perry Elementary School,school
15305,25286903,Peter Green Park,park
15306,25286903,Samuel E Talbert Middle School,school
15307,25286903,William T Newland Elementary School,school
15308,25286903,Cordata Park,park
15309,25280001,Albertsons,grocery store
15310,25280001,Drew Park,park
15311,25280001,Wardlow Park,park
15312,25280001,Bushard Park,park
15313,25280001,Newland Park,park
15314,25280001,Bartlett Park,park
15315,25280001,Langenbeck Park,park
15316,25280001,Talbert Park,park
15317,25280001,Perry Park,park
15318,25280001,Helme Park,park
15319,25280001,Harper Park,park
15320,25280001,Courreges Park,park
15321,25280001,Joseph R Perry Elementary School,school
15322,25280001,S A Moffett Elementary School,school
15323,25280001,Samuel E Talbert Middle School,school
15324,25280001,William T Newland Elementary School,school
15325,25280001,Cordata Park,park
15326,25280001,Huntington Beach,park
15327,25709066,Walmart Neighborhood Market,grocery store
15328,25709066,Edison High School,school
15329,25709066,Vons,grocery store
15330,25709066,Brethren Christian Junior-Senior High School,school
15331,25709066,Edison Community Park,park
15332,25709066,Gisler Park,park
15333,25709066,Burke Park,park
15334,25709066,Sowers Park,park
15335,25709066,Hawes Park,park
15336,25709066,Moffett Park,park
15337,25709066,Drew Park,park
15338,25709066,Wardlow Park,park
15339,25709066,William E Kettler Elementary School,school
15340,25709066,S A Moffett Elementary School,school
15341,25709066,Isaac L Sowers Middle School,school
15342,25709066,Ralph E Hawes Elementary School,school
15343,25709066,Huntington Christian School,school
15344,25709066,Peterson School,school
15345,25709066,Bauer Park,park
15346,25709066,Huntington Beach,park
15347,2142090112,Walmart Neighborhood Market,grocery store
15348,2142090112,Edison High School,school
15349,2142090112,Vons,grocery store
15350,2142090112,Brethren Christian Junior-Senior High School,school
15351,2142090112,Edison Community Park,park
15352,2142090112,Gisler Park,park
15353,2142090112,Burke Park,park
15354,2142090112,Sowers Park,park
15355,2142090112,Hawes Park,park
15356,2142090112,Moffett Park,park
15357,2142090112,Drew Park,park
15358,2142090112,William E Kettler Elementary School,school
15359,2142090112,S A Moffett Elementary School,school
15360,2142090112,Isaac L Sowers Middle School,school
15361,2142090112,Ralph E Hawes Elementary School,school
15362,2142090112,Huntington Christian School,school
15363,2142090112,Peterson School,school
15364,2142090112,Bauer Park,park
15365,2142090112,Huntington Beach,park
15366,25275857,Walmart Neighborhood Market,grocery store
15367,25275857,Edison High School,school
15368,25275857,Vons,grocery store
15369,25275857,Albertsons,grocery store
15370,25275857,Edison Community Park,park
15371,25275857,Manning Park,park
15372,25275857,Sowers Park,park
15373,25275857,Moffett Park,park
15374,25275857,Drew Park,park
15375,25275857,Wardlow Park,park
15376,25275857,Newland Park,park
15377,25275857,Bartlett Park,park
15378,25275857,William E Kettler Elementary School,school
15379,25275857,S A Moffett Elementary School,school
15380,25275857,William T Newland Elementary School,school
15381,25275857,Isaac L Sowers Middle School,school
15382,25275857,Peterson School,school
15383,25275857,Bauer Park,park
15384,25302089,Seal Beach National Wildlife Refuge,park
15386,25302089,Harbour View Elementary School,school
15387,25302089,Harbour View Park,park
15388,25302089,Eugene B French Park,park
15389,25302089,Sea Bridge Park,park
15390,25302089,Sunset Aquatic Regional Park,park
15391,25302089,Sunset Beach,park
15399,25302089,Huntington Beach,park
15400,82766735,West Newport Park,park
15401,82766735,Edison High School,school
15402,82766735,Randall Preserve,park
15404,82766735,Brethren Christian Junior-Senior High School,school
15405,82766735,Least Tern Natural Preserve,park
15407,82766735,Edison Community Park,park
15408,82766735,Gisler Park,park
15409,82766735,Eader Park,park
15410,82766735,Seeley Park,park
15411,82766735,Talbert Regional Park,park
15412,82766735,John H Eader Elementary School,school
15413,82766735,Huntington Beach,park
15414,25716209,Walmart Neighborhood Market,grocery store
15415,25716209,Edison High School,school
15416,25716209,Vons,grocery store
15417,25716209,Brethren Christian Junior-Senior High School,school
15418,25716209,Edison Community Park,park
15419,25716209,Gisler Park,park
15420,25716209,Burke Park,park
15421,25716209,Sowers Park,park
15422,25716209,Hawes Park,park
15423,25716209,Moffett Park,park
15424,25716209,Drew Park,park
15425,25716209,Wardlow Park,park
15426,25716209,Newland Park,park
15427,25716209,Bartlett Park,park
15428,25716209,William E Kettler Elementary School,school
15429,25716209,S A Moffett Elementary School,school
15430,25716209,William T Newland Elementary School,school
15431,25716209,Isaac L Sowers Middle School,school
15432,25716209,Ralph E Hawes Elementary School,school
15433,25716209,Huntington Christian School,school
15434,25264462,Vons,grocery store
15435,25264462,Marina High School,school
15436,25264462,Circle View Park,park
15437,25264462,Schroeder Park,park
15438,25264462,College Park,park
15439,25264462,College View Park,park
15440,25264462,Glen View Park,park
15441,25264462,Greer Park,park
15442,25264462,Irby Park,park
15443,25264462,Land Park,park
15444,25264462,College View Elementary School,school
15445,25264462,Schroeder Elementary School,school
15446,25264462,Spring View Middle School,school
15447,25264462,Circle View Elementary School,school
15448,25264462,Jon's Marketplace,grocery store
15449,25264462,Grocery Outlet,grocery store
15450,25264462,Costco,grocery store
15451,25264462,California Native Garden,park
15453,25264462,,school
15456,25768368,Harbour View Elementary School,school
15457,25768368,Harbour View Park,park
15458,25768368,Bolsa View Park,park
15459,25768368,Marine View Park,park
15460,25768368,Wieder Park,park
15461,25768368,Gibbs Park,park
15462,25768368,Marine View Middle School,school
15463,25768368,Trader Joe's,grocery store
15464,25768368,Parkside Estates Park,park
15465,25764853,Harbour View Elementary School,school
15466,25764853,Harbour View Park,park
15467,25764853,Haven View Park,park
15468,25764853,Marine View Park,park
15469,25764853,Wieder Park,park
15470,25764853,Gibbs Park,park
15471,25764853,Marine View Middle School,school
15472,25764853,Village View Elementary School,school
15473,25764853,Trader Joe's,grocery store
15474,25764853,Haven View School,school
15475,25764853,Haven Park,park
15476,25764853,Parkside Estates Park,park
15477,25109317,Huntington Beach High School,school
15478,25109317,Albertsons,grocery store
15480,25109317,Ethel Dwyer Middle School,school
15481,25109317,Lake Park,park
15482,25109317,Manning Park,park
15483,25109317,Drew Park,park
15484,25109317,Farquhar Park,park
15485,25109317,Worthy Park,park
15486,25109317,McCallen Park,park
15487,25109317,Bartlett Park,park
15488,25109317,Discovery Well Park,park
15489,25109317,Peterson School,school
15490,25109317,Bailey Park,park
15491,25109317,Finley Park,park
15492,25109317,Triangle Park,park
15493,25109317,Agnes L Smith Elementary School,school
15494,25109317,La Bolsa,park
15496,25699942,Walmart Neighborhood Market,grocery store
15497,25699942,Albertsons,grocery store
15498,25699942,Lake Park,park
15499,25699942,Manning Park,park
15500,25699942,Moffett Park,park
15501,25699942,Drew Park,park
15502,25699942,Farquhar Park,park
15503,25699942,McCallen Park,park
15504,25699942,Wardlow Park,park
15505,25699942,Newland Park,park
15506,25699942,Bartlett Park,park
15507,25699942,Langenbeck Park,park
15508,25699942,Perry Park,park
15509,25699942,Joseph R Perry Elementary School,school
15510,25699942,S A Moffett Elementary School,school
15511,25699942,William T Newland Elementary School,school
15512,25699942,Peterson School,school
15513,25699942,Triangle Park,park
15514,25111940,Harriett M. Wieder Regional Park,park
15515,25111940,Pattinson Park,park
15516,25111940,Discovery Well Park,park
15517,25111940,Bailey Park,park
15518,25111940,Finley Park,park
15519,25111940,Huntington Beach,park
15520,25111940,,school
15521,25734693,Huntington Beach High School,school
15522,25734693,Ethel Dwyer Middle School,school
15523,25734693,Lake Park,park
15524,25734693,Manning Park,park
15525,25734693,Farquhar Park,park
15526,25734693,Worthy Park,park
15527,25734693,Triangle Park,park
15528,25734693,Agnes L Smith Elementary School,school
15529,25750353,Pavilions,grocery store
15530,25750353,Ocean View High School,school
15531,25750353,Huntington Central Park,park
15532,25750353,Fulton Park,park
15533,25750353,Lake View Park,park
15534,25750353,Murdy Park,park
15535,25750353,Oak View Center Park,park
15536,25750353,Pleasant View Park,park
15537,25750353,Westmont Park,park
15538,25750353,Pleasant View School,school
15539,25750353,Westmont Elementary School,school
15540,25750353,Hisamatsu Tamura Elementary School,school
15541,25750353,Sun View Elementary School,school
15542,25750353,Lake View Elementary School,school
15544,25750353,Oak View Elementary School,school
15545,25750353,Stater Bros.,grocery store
15546,25750353,Boulevard Gardens,park
15547,25750353,,school
15548,25113302,Walmart Neighborhood Market,grocery store
15549,25113302,Huntington Beach High School,school
15550,25113302,Ethel Dwyer Middle School,school
15551,25113302,Lake Park,park
15552,25113302,Manning Park,park
15553,25113302,Farquhar Park,park
15554,25113302,Worthy Park,park
15555,25113302,Peterson School,school
15556,25113302,Triangle Park,park
15557,25113302,Agnes L Smith Elementary School,school
15558,25735575,name=Trader Joe's,grocery store
15559,25735575,Huntington Beach High School,school
15560,25735575,Ralphs,grocery store
15561,25735575,Albertsons,grocery store
15563,25735575,Ethel Dwyer Middle School,school
15564,25735575,Lake Park,park
15565,25735575,Worthy Park,park
15566,25735575,McCallen Park,park
15567,25735575,Bartlett Park,park
15568,25735575,Perry Park,park
15569,25735575,Helme Park,park
15570,25735575,Joseph R Perry Elementary School,school
15571,25735575,Peter Green Park,park
15572,25735575,Discovery Well Park,park
15573,25735575,John Baca Park,park
15574,25735575,Finley Park,park
15575,25735575,Agnes L Smith Elementary School,school
15576,25735575,Huntington Beach,park
15577,25735575,,school
15578,25109463,Huntington Beach High School,school
15579,25109463,Ralphs,grocery store
15580,25109463,Albertsons,grocery store
15581,25109463,Ethel Dwyer Middle School,school
15582,25109463,Lake Park,park
15583,25109463,Pattinson Park,park
15584,25109463,Farquhar Park,park
15585,25109463,Worthy Park,park
15586,25109463,McCallen Park,park
15587,25109463,Discovery Well Park,park
15588,25109463,Bailey Park,park
15589,25109463,Finley Park,park
15590,25109463,Triangle Park,park
15591,25109463,Agnes L Smith Elementary School,school
15592,25109463,Huntington Beach,park
15593,25109463,La Bolsa,park
15594,25724574,Walmart Neighborhood Market,grocery store
15595,25724574,Vons,grocery store
15596,25724574,Albertsons,grocery store
15597,25724574,Lake Park,park
15598,25724574,Manning Park,park
15599,25724574,Moffett Park,park
15600,25724574,Drew Park,park
15601,25724574,Farquhar Park,park
15602,25724574,McCallen Park,park
15603,25724574,Wardlow Park,park
15604,25724574,Newland Park,park
15605,25724574,Bartlett Park,park
15606,25724574,Joseph R Perry Elementary School,school
15607,25724574,S A Moffett Elementary School,school
15608,25724574,William T Newland Elementary School,school
15609,25724574,Peterson School,school
15610,25724574,Triangle Park,park
15611,25109768,Huntington Beach High School,school
15612,25109768,Ethel Dwyer Middle School,school
15613,25109768,Lake Park,park
15614,25109768,Pattinson Park,park
15615,25109768,Farquhar Park,park
15616,25109768,Worthy Park,park
15617,25109768,Bailey Park,park
15618,25109768,Finley Park,park
15619,25109768,Triangle Park,park
15620,25109768,Agnes L Smith Elementary School,school
15621,25699844,Walmart Neighborhood Market,grocery store
15622,25699844,Albertsons,grocery store
15623,25699844,Lake Park,park
