schools
Aliso Niguel High
Aliso Viejo Middle
Canyon Vista Elementary
Community Roots Academy
Don Juan Avila Elementary
Don Juan Avila Middle
Oak Grove Elementary
Dr. Albert Schweitzer
Walt Disney
Anaheim Hills Elementary
Canyon High
Canyon Rim Elementary
Crescent Elementary
El Rancho Charter
Imperial Elementary
Nohl Canyon Elementary
Running Springs Elementary
Esperanza High
Woodsboro Elementary
Arovista Elementary
Brea Country Hills Elementary
Brea Junior High
Brea-Olinda High
Mariposa Elementary
Olinda Elementary
William E. Fanning Elementary
Charles G. Emery Elementary
Buena Terra Elementary
Glen H. Dysinger Sr. Elementary
San Marino Elementary
Abraham Lincoln Elementary
Harbor View Elementary
California Elementary
Early College High
Heinz Kaiser Elementary
Killybrooke Elementary
Maude B. Davis Elementary
OCCS:CHEP/PCHS
Magnolia Science Academy Santa Ana
Wagon Wheel Elementary
Cypress High
Lexington Junior High
Oxford Academy
A. E. Arnold Elementary
Frank Vessels Elementary
Juliet Morris Elementary
Margaret Landell Elementary
Dana Hills High
Foothill Ranch Elementary
Harry C. Fulton Middle
Hisamatsu Tamura Elementary
James H. Cox Elementary
Kazuo Masuda Middle
Robert Gisler Elementary
Roch Courreges Elementary
Urbain H. Plavan Elementary
Ethan B. Allen Elementary
Fountain Valley High
Vista View Middle
Acacia Elementary
Beechwood Elementary
D. Russell Parks Junior High
Golden Hill Elementary
Hermosa Drive Elementary
Laguna Road Elementary
Robert C. Fisler Elementary
Rolling Hills Elementary
Sunset Lane Elementary
Sunny Hills High
Troy High
A. J. Cook Elementary
Bolsa Grande High
Donald S. Jordan Intermediate
Dr. Walter C. Ralston Intermediate
Excelsior Elementary
Garden Grove High
Garden Park Elementary
Gilbert Elementary
Hilton D. Bell Intermediate
James Irvine Intermediate
John Murdy Elementary
Louis Lake Intermediate
Loyal Barker Elementary
Ocia A. Peters Elementary
Pacifica High
Parkview Elementary
Patton Elementary
Rancho Alamitos High
Stanford Elementary
Sunnyside Elementary
Thomas Paine Elementary
Isojiro Oka Elementary
Samuel E. Talbert Middle
William T. Newland Elementary
Agnes L. Smith Elementary
Ethel Dwyer Middle
Huntington Seacliff Elementary
Isaac L. Sowers Middle
John H. Eader Elementary
John R. Peterson Elementary
Ralph E. Hawes Elementary
S. A. Moffett Elementary
Coast High
Edison High
Huntington Beach High
Marina High
Circle View Elementary
Harbour View Elementary
Hope View Elementary
Marine View Middle
Mesa View Middle
Spring View Middle
Village View Elementary
Ada Clegg Elementary
Helen Stacey Middle
Schroeder Elementary
Alderwood Elementary
Bonita Canyon Elementary
Brywood Elementary
Canyon View Elementary
College Park Elementary
Culverdale Elementary
Cypress Village Elementary
Deerfield Elementary
Eastshore Elementary
Greentree Elementary
Irvine High
Jeffrey Trail Middle
Lakeside Middle
Meadow Park Elementary
Northwood Elementary
Northwood High
Oak Creek Elementary
Plaza Vista
Portola Springs Elementary
Rancho San Joaquin Middle
Santiago Hills Elementary
Sierra Vista Middle
South Lake Middle
Springbrook Elementary
Stone Creek Elementary
Stonegate Elementary
Turtle Rock Elementary
University High
University Park Elementary
Venado Middle
Vista Verde
Westpark Elementary
Woodbridge High
Woodbury Elementary
Arnold O. Beckman High
Hicks Canyon Elementary
Myford Elementary
Orchard Hills
La Habra High
Sonora High
John F. Kennedy High
George B. Miller Elementary
Los Coyotes Elementary
Steve Luther Elementary
Chaparral Elementary
Ladera Ranch Elementary
Ladera Ranch Middle
Oso Grande Elementary
El Morro Elementary
Laguna Beach High
