zpid,grocery store count,park count,school count
25356746,1,0,0
25356864,0,0,1
25356882,0,0,1
25356925,0,0,1
25357967,0,1,1
25358009,0,1,2
25358035,0,2,0
25358416,0,1,2
25358521,0,1,2
25358631,0,1,0
25359372,0,2,2
25359441,0,2,2
25359470,0,2,3
25359622,0,1,3
25359640,0,1,3
25360823,0,0,2
25361249,0,0,2
25361774,1,0,3
25362293,2,1,1
25362726,0,0,2
25365903,0,0,2
25365984,0,0,3
25366164,0,0,2
25366285,0,0,1
25366386,1,0,2
25366456,0,0,2
25366546,1,0,2
25367533,2,0,2
25367541,2,0,2
25367570,2,0,2
25367625,2,0,2
25367631,2,0,2
25367652,1,0,2
25367835,1,0,2
25368327,1,0,2
25368394,1,0,2
25368887,2,0,0
25368966,3,0,0
25369042,1,0,0
25369257,2,0,0
25369320,2,0,0
25369321,2,0,0
25369456,3,0,0
25369459,3,0,0
25369487,3,0,0
25369553,3,0,0
25369668,2,1,0
25369791,2,0,1
25369859,2,0,0
25369872,2,0,0
25370165,2,0,0
25370374,0,2,1
25371011,1,1,2
25371064,0,0,3
25371502,0,0,3
25371851,0,0,2
25371905,0,0,3
25372052,1,0,1
25372487,1,0,1
25372519,0,0,1
25372692,0,0,1
25372798,0,0,1
25372843,0,0,1
25372844,0,0,1
25373060,1,1,2
25374326,1,0,3
25374814,1,0,5
25375186,1,0,5
25375883,1,0,5
25376083,2,0,4
25376120,2,0,3
25376988,1,0,3
25377615,2,1,5
25377662,1,0,6
25377686,1,0,6
25377696,1,0,6
25377781,1,0,6
25377854,1,0,6
25377918,3,0,4
25378175,3,0,4
25378343,3,0,5
25378467,1,1,4
25378544,1,1,1
25378587,1,1,2
25378858,3,1,1
25378877,3,1,1
25379186,0,1,4
25379968,0,1,2
25382818,1,0,5
25383290,0,0,3
25383356,1,0,6
25383447,1,0,5
25383461,1,0,6
25383584,0,0,3
25383832,1,0,4
25383958,0,0,2
25384088,0,0,2
25384335,0,0,2
25384468,0,0,2
25384515,0,0,2
25384565,0,0,2
25384720,0,0,2
25384800,0,0,2
25384847,0,0,2
25385059,0,0,4
25385100,0,0,4
25385121,0,0,4
25385261,0,0,4
25385305,1,0,5
25385336,1,0,5
25385375,0,0,2
25385380,0,0,2
25385660,0,0,2
25385697,0,0,2
25385698,0,0,2
25385840,0,0,2
25385890,0,0,2
25386883,1,1,3
25386884,1,1,3
25386954,1,0,4
25386964,1,0,4
25387315,1,0,3
25387322,1,0,3
25387332,1,0,3
25387338,1,0,3
25387402,1,0,3
25387517,1,0,2
25387629,1,0,2
25387666,1,0,1
25387677,1,0,2
25387772,1,0,1
25388591,1,0,1
25389067,0,0,2
25389170,1,1,2
25389342,0,0,1
25389828,0,0,1
25389852,0,0,1
25389976,0,0,1
25389996,0,0,1
25390014,0,0,1
25390262,1,1,1
25391672,0,0,4
25391877,0,0,4
25392009,0,0,3
25392218,0,0,4
25392224,0,0,4
25392644,0,1,4
25393038,1,0,3
25393172,1,0,3
25393718,0,1,4
25393828,0,1,5
25394378,0,0,3
25394561,1,0,3
25394577,1,0,3
25395045,1,0,3
25395061,1,0,4
25395357,1,1,4
25395410,0,1,4
25395527,0,1,4
25395559,0,1,4
25395578,0,1,4
25395819,0,1,3
25395909,1,1,3
25395931,0,1,3
25396068,1,0,2
25396132,1,0,3
25396142,1,0,3
25396150,1,0,3
25396229,1,0,3
25396692,0,1,3
25396702,0,1,3
25396797,1,0,1
25397069,1,0,1
25397283,1,0,1
25397411,1,0,0
25397959,1,0,1
25397995,1,0,1
25398071,1,0,0
25398651,1,1,2
25398815,0,1,1
25399053,1,1,0
25399124,1,1,0
25399274,1,1,0
25399295,3,1,0
25399451,1,0,2
25399584,1,1,1
25399767,1,1,1
25399975,3,1,0
25400030,3,1,0
25400145,3,1,0
25400239,3,1,1
25400483,3,1,1
25400490,3,1,1
25400597,2,1,0
25401557,0,0,1
25401627,0,0,1
25401676,0,0,1
25401755,0,0,1
25401769,0,0,1
25401876,0,0,1
25401911,0,0,1
25402259,0,0,1
25402470,0,0,1
25402556,0,0,1
25402595,0,0,1
25402840,0,0,1
25403563,3,1,1
25403818,4,0,1
25404176,1,0,2
25404277,1,0,2
25404419,1,0,2
25404523,1,0,2
25404650,1,0,2
25405181,2,0,1
25405433,1,1,1
25406027,1,1,1
25406353,1,1,2
25406516,0,1,1
25406556,1,1,2
25406719,0,1,1
25406741,0,1,1
25406753,0,0,3
25406826,0,1,2
25406907,2,0,2
25406909,0,1,2
25406995,1,1,2
25406996,1,1,2
25407223,1,1,1
25407239,1,1,1
25407266,0,1,3
25407274,0,1,3
25407345,0,1,3
25407811,1,1,3
25408254,1,1,3
25408540,0,1,2
25409510,0,0,1
25409537,0,0,1
25409592,0,0,1
25410650,1,0,0
25411820,0,0,2
25411835,0,0,2
25412043,4,0,3
25412396,0,0,2
25412474,1,0,3
25412522,1,0,3
25412581,0,0,2
25412661,0,0,2
25412834,0,0,3
25412841,3,0,2
25412851,3,0,2
25413098,0,0,2
25413174,0,0,2
25413339,0,0,2
25413399,0,0,2
25413533,0,0,1
25413672,0,0,1
25414143,1,0,3
25414285,1,0,3
25414430,1,1,3
25414794,1,0,2
25415211,1,0,3
25415453,1,0,2
25415454,1,0,2
25415489,1,0,2
25415619,1,0,2
25415752,1,0,2
25415755,1,0,2
25415986,0,0,2
25416019,1,0,2
25416249,0,1,1
25416323,0,1,1
25416418,0,1,1
25416453,0,1,1
25416465,0,1,1
25416605,0,1,1
25416654,0,1,1
25417189,0,1,1
25417884,0,1,1
25417975,0,1,1
25417997,0,1,1
25418018,0,1,1
25418233,1,1,1
25418924,0,0,1
25419046,0,0,1
25419120,0,0,1
25419190,0,0,1
25419795,1,0,3
25419838,3,0,3
25420182,1,0,3
25420344,0,0,3
25420568,4,0,2
25421110,0,0,1
25421176,1,0,3
25421312,4,0,3
25421605,1,0,3
25421642,4,0,3
25421686,1,0,2
25421690,1,0,2
25421917,3,0,1
25424259,1,0,1
25425666,1,0,3
25425771,1,0,4
25425887,1,0,3
25425940,1,0,3
25425992,1,0,2
25426071,1,0,3
25426338,0,0,3
25426559,1,0,3
25427017,2,0,3
25427019,2,0,3
25427917,0,0,2
25427918,0,0,2
25428114,0,0,1
25428581,1,0,0
25428626,1,1,0
25428700,1,0,0
25428857,1,0,0
25429376,0,0,1
25429561,0,0,1
25430152,1,0,2
25430202,1,0,3
25431635,1,0,3
25431828,0,0,2
25431833,0,0,2
25433540,0,0,2
25433870,1,2,0
25434129,1,1,0
25434153,1,1,0
25434741,1,1,0
25434756,1,1,0
25437164,1,0,5
25437180,1,0,5
25437331,0,0,2
25437515,1,0,4
25438953,0,1,1
25438958,0,1,1
25439059,1,1,0
25439134,1,1,1
25439506,0,1,1
25439728,0,1,1
25441430,1,0,0
25443864,1,2,0
25444282,1,2,0
25444789,1,1,0
25445929,0,0,1
25445946,0,0,1
25445967,0,0,1
25446583,1,1,0
25446586,1,1,0
25446642,1,1,0
25446654,1,1,0
25447484,3,0,2
25452647,0,0,1
25456197,2,0,0
25456446,2,0,0
25456545,1,0,0
25456630,2,0,0
25457254,1,0,3
25457396,1,0,3
25457427,1,0,3
25457499,0,0,3
25457559,0,0,3
25457768,0,0,3
25457864,0,0,2
25458037,2,0,2
25458095,2,0,2
25458149,2,0,2
25458222,2,0,2
25458354,2,0,2
25458463,2,0,2
25458486,2,0,2
25458500,2,0,2
25458548,2,0,2
25458651,0,0,2
25458919,2,0,2
25459031,1,0,2
25459523,1,0,3
25459529,1,0,3
25460514,0,0,1
25460756,1,0,2
25461737,0,2,0
25461834,0,2,0
25462699,1,3,1
25463316,1,2,0
25464700,0,1,1
25464705,0,1,1
25465203,0,1,2
25466000,0,1,0
25467658,4,1,3
